InstanceID,InstanceName,IPAddress,InstanceType
i-01bc6f5a74ed2b629,NFT-Neoload,10.90.202.156,m6i.xlarge
i-0135b7c0ca8352d87,dBRM-node-2,10.90.202.93,m5.4xlarge
i-0dfddeabe73c036a3,SMART-NFVI-AAA01,10.90.202.130,c5.xlarge
i-03cedb6788994690e,SMART-NFVI-TELK01,10.90.202.119,c5.xlarge
i-0b44b35231190614a,SMART-NFVI-db01,10.90.202.220,c5.xlarge
i-0d1629221c714254f,SMART-NFVI-db02,10.90.202.81,c5.xlarge
i-0d4ee3e41b8d42e96,NFT-acunetix-2,10.90.202.174,c6i.2xlarge
i-05bd19b9b76d7027d,K8s-Upgrade-Master1,10.90.252.42,t2.large
i-0cb7bdc08d85a2ef1,K8s-Upgrade-Master2,10.90.252.66,t2.large
i-04d8d36a3149c01f8,K8s-Upgrade-Master3,10.90.252.8,t2.large
i-069f51f5a307f8a25,K8s-Upgrade-WorkerNode-1,10.90.252.118,t2.large
i-0580abc97c70eea75,K8s-Upgrade-WorkerNode-2,10.90.252.96,t2.large
i-0cf1ded3c1820bd35,network-test,10.90.252.68,t4g.nano
i-0aa35d57c94e93a86,K8s-Upgrade-load-balancer,10.90.252.73,t2.large
i-056f653c1868b6b0c,K8s-Upgrade-WorkerNode-3,10.90.252.102,m6i.2xlarge
i-081b4826c6f2b6335,K8s-Upgrade-WorkerNode-4,10.90.252.38,t2.large
i-06e9885975c0732b0,Jenkins-Build-5,10.90.203.236,c6i.2xlarge
i-0af323126e670814d,NFT,10.90.202.96,m4.xlarge
i-036acb7b995b7f386,Oracle-Support,10.90.203.35,m6i.large
i-0ce4ad83e4407f7cf,dEP-dUPC-MTN-1,10.90.202.98,c6i.2xlarge
i-00f73ab9e21ca731a,dep-dupc-ha-1,10.90.202.128,c5.4xlarge
i-0ede64043f10ae430,dSP-Jenkins,10.90.203.47,m5.xlarge
i-0a266380b8a5170cd,YTL Build Node,10.90.203.140,m6i.xlarge
i-0f8d60dd7f5c84c09,dMED-DEV-QC-FUNC-2,10.90.202.238,c5.2xlarge
i-063326fa066618b12,DMED-Dev-QC-2,10.90.203.159,c5.4xlarge
i-0f468504d8e017cc7,DU-Postgres,10.90.203.31,m6i.xlarge
i-00075637a9a2f5c12,DU-VoltDB,10.90.203.176,m5.4xlarge
i-0fb8280840d7b1093,DU-MySQL,10.90.203.27,m6i.2xlarge
i-094e0d361e522576f,DU-Oracle,10.90.203.41,m5.2xlarge
i-067d9c5e281338c0d,DU-Oracle-19c,10.90.202.72,m5.xlarge
i-07e4d66e4ddbfa8fa,Central SVN Server,10.90.202.172,m6i.xlarge
i-0635ae901476f7446,SMART-NFVI-Oracle-DB,10.90.203.127,c6i.2xlarge
i-0e5cb308a3876be21,mtndev2,10.90.202.27,m6i.2xlarge
i-00e416c96b1ea4e0e,mtndev1,10.90.203.43,m6i.2xlarge
i-02ab4e0767546cb02,mtndev3,10.90.203.70,m6i.2xlarge
i-0aced903504a756ab,mtndev4,10.90.202.133,m6i.2xlarge
i-0b5acbd88cc90947f,mtnqa1,10.90.202.25,m6i.2xlarge
i-030bb889fb3866970,mtnqa2,10.90.202.105,m6i.2xlarge
i-0c8784d864e6cea28,mtnqa3,10.90.202.9,m6i.2xlarge
i-099d0b97d75e2411e,mtnqa4,10.90.203.222,m6i.2xlarge
i-074dc8b675591c59d,mtnpreqa1,10.90.203.60,m6i.2xlarge
i-04c7fa834e39a3407,mtnpreqa2,10.90.203.221,m6i.2xlarge
i-07c0cba4f333d02bd,mtnpreqa3,10.90.203.209,m6i.2xlarge
i-0ef479613ea05cd33,mtnpreqa4,10.90.202.17,m6i.2xlarge
i-01912d4b566f69277,Jenkins-Build-4,10.90.203.167,c6i.2xlarge
i-03583b11dd158c202,sabadev1,10.90.203.210,m6i.2xlarge
i-0e4ea107e3a769939,sabadev2,10.90.203.64,m6i.2xlarge
